"dteday","season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt"
14984,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3
14984,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31
14984,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77
14984,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188
14984,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94
14984,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31
14984,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30
14984,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52
14984,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54
14984,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47
14984,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45
14984,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74
14984,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178
14984,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155
14984,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95
14984,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74
14984,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38
14984,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24
14984,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18
14985,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12
14985,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3
14985,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3
14985,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6
14985,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27
14985,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0,2,97,99
14985,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217
14985,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130
14985,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54
14985,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35
14985,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57
14985,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52
14985,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63
14985,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47
14985,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76
14985,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136
14985,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95
14985,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0,0,51,51
14985,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32
14985,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20
14985,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,1,28,29
14985,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,1,18,19
14986,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,0,7,7
14986,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,0,6,6
14986,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,0,1,1
14986,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,0,5,5
14986,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,0,16,16
14986,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,0,54,54
14986,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,3,125,128
14986,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,3,78,81
14986,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,0,39,39
14986,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,3,32,35
14986,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,3,52,55
14986,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,0,49,49
14986,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,0,44,44
14986,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,1,48,49
14986,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,5,63,68
14986,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,0,139,139
14986,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,2,135,137
14986,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,1,82,83
14986,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,2,54,56
14986,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,0,57,57
14986,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,1,32,33
14986,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,1,19,20
14987,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,1,6,7
14987,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,0,2,2
14987,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,0,2,2
14987,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,0,3,3
14987,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,0,4,4
14987,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,0,3,3
14987,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,0,28,28
14987,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,0,72,72
14987,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,5,197,202
14987,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,2,137,139
14987,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,2,36,38
14987,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,4,33,37
14987,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,3,49,52
14987,1,0,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,2,81,83
14987,1,0,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,3,39,42
14987,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,5,55,60
14987,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,2,76,78
14987,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,4,158,162
14987,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,3,141,144
14987,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,1,98,99
14987,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,0,64,64
14987,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,0,40,40
14987,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,0,30,30
14987,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,1,14,15
14988,1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.194,0,14,14
14988,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,0,5,5
14988,1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,0,1,1
14988,1,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,0,1,1
14988,1,0,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896,0,8,8
14988,1,0,1,6,0,5,1,1,0.1,0.1818,0.54,0,0,17,17
14988,1,0,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642,0,70,70
14988,1,0,1,8,0,5,1,1,0.12,0.1667,0.68,0,2,156,158
14988,1,0,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343,0,117,117
14988,1,0,1,10,0,5,1,1,0.18,0.1818,0.55,0.194,4,40,44
14988,1,0,1,11,0,5,1,1,0.18,0.1667,0.51,0.2836,6,47,53
14988,1,0,1,12,0,5,1,1,0.2,0.197,0.44,0.2537,2,59,61
14988,1,0,1,13,0,5,1,1,0.22,0.197,0.37,0.3881,4,73,77
14988,1,0,1,14,0,5,1,1,0.22,0.2121,0.41,0.2836,5,59,64
14988,1,0,1,15,0,5,1,1,0.24,0.2424,0.38,0.1642,9,59,68
14988,1,0,1,16,0,5,1,1,0.22,0.2424,0.41,0.1045,3,87,90
14988,1,0,1,17,0,5,1,1,0.22,0.2273,0.41,0.1642,4,155,159
14988,1,0,1,18,0,5,1,1,0.2,0.2576,0.47,0,5,134,139
14988,1,0,1,19,0,5,1,1,0.16,0.197,0.59,0.0896,3,89,92
14988,1,0,1,20,0,5,1,1,0.18,0.2424,0.59,0,0,68,68
14988,1,0,1,21,0,5,1,1,0.16,0.2273,0.69,0,4,48,52
14988,1,0,1,22,0,5,1,2,0.16,0.2273,0.69,0,2,34,36
14988,1,0,1,23,0,5,1,2,0.18,0.2424,0.55,0,1,26,27
14989,1,0,1,0,0,6,0,1,0.18,0.2424,0.55,0,3,25,28
14989,1,0,1,1,0,6,0,2,0.16,0.197,0.59,0.0896,2,18,20
14989,1,0,1,2,0,6,0,2,0.16,0.197,0.59,0.0896,0,12,12
